model,mode,batch_size,simulated_mem_usage,node_ordering.runtime,node_ordering.peak_mem_usage,address_generation.runtime,address_generation.fragmentation,address_generation.peak_mem_usage
alexnet,train,1,744.8114204406738,1.0790746212005615,812.7721252441406,6.4946417808532715,3.844718286339975e-05,812.8033752441406
alexnet,train,32,744.8114204406738,1.3574151992797852,923.1915588378906,20.972732543945312,1.6924694991047265e-05,923.2071838378906
vgg,train,1,1762.5636177062988,1.7428934574127197,2148.3939514160156,1.933415412902832,0.0,2148.3939514160156
vgg,train,32,2509.3723754882812,1.7480018138885498,3590.2572326660156,29.407331466674805,4.3518664564499845e-05,3590.4134826660156
mnasnet,train,1,38.3143310546875,464.9173901081085,47.484283447265625,5496.1213002204895,5.783853537404823e-05,47.487060546875
mnasnet,train,32,795.59326171875,169.11437892913818,795.5966796875,1099.7060613632202,0.0,795.5966796875
mobilenet,train,1,95.60617065429688,168.50977230072021,80.05679321289062,3632.1680405139923,0.0,80.05679321289062
mobilenet,train,32,2420.282928466797,214.34407544136047,1682.6066589355469,3622.643426179886,0.01585800326801856,1709.719394683838
efficientnet,train,1,114.53521728515625,523.0703976154327,119.02650833129883,3680.0968823432922,0.5284766489962506,252.4297218322754
efficientnet,train,32,2732.6162643432617,2412.749764919281,2720.541763305664,3668.71231508255,0.36041640816399695,4253.614067077637
vit,train,1,671.901554107666,484.22224974632263,507.07254791259766,3636.9164538383484,0.1352288978255506,586.3662033081055
vit,train,32,4682.234191894531,361.69415402412415,4679.297760009766,3631.6876850128174,0.3467040465017897,7162.600250244141
bert,train,1,1392.032787322998,232.24378418922424,1087.072265625,3636.0696132183075,0.6791822203310434,3388.4414596557617
bert,train,32,1554.032787322998,278.6082971096039,1087.072265625,3636.3822042942047,0.6932492403044532,3543.829090118408