model,bs,simulated memmory,e2e memory,fragmentation,e2e time
alexnet,1,665.0812072753906,809.0812072753906,17.80,0.15959596633911133
alexnet,32,665.0812072753906,809.0812072753906,17.80,0.14207887649536133
vgg,1,1682.8334045410156,2074.8334045410156,18.89,0.25232362747192383
vgg,32,2242.2186584472656,2251.4061584472656,0.41,0.23869609832763672
mnasnet,1,40.373809814453125,40.603546142578125,0.57,37.11282205581665
mnasnet,32,802.0765380859375,802.0765380859375,0.00,37.72673749923706
mobilenet,1,84.33795166015625,85.70513916015625,1.60,43.83952212333679
mobilenet,32,1691.1415100097656,1691.1415100097656,0.00,57.41280126571655
efficientnet,1,137.13237380981445,140.2772102355957,2.24,139.92474174499512
efficientnet,32,2762.287612915039,2772.0608673095703,0.35,137.39155054092407
vit,1,580.6151428222656,611.6639709472656,5.08,32.12659168243408
vit,32,5306.719635009766,5306.719635009766,0.00,55.133013010025024
bert,1,915.01171875,1062.2724609375,13.86,59.1879677772522
bert,32,915.01171875,1062.2724609375,13.86,45.8519606590271