model,mode,batch_size,profile.max_mem_fragmentation,simulated_mem_usage
alexnet,train,1,0.03339520027624309,744.8114204406738
alexnet,train,32,0.0664743103220697,744.8114204406738
vgg,train,1,0.05047215009891197,1762.5636177062988
vgg,train,32,0.31400730298913043,2509.3723754882812
mnasnet,train,1,0.7976769555973101,38.3143310546875
mnasnet,train,32,0.14676137098861283,795.59326171875
mobilenet,train,1,0.5920424688430059,95.60617065429688
mobilenet,train,32,0.1139011124017155,2420.282928466797
efficientnet,train,1,0.5264157531081989,114.53521728515625
efficientnet,train,32,0.27850357359128,2732.6162643432617
vit,train,1,0.12630355627828055,671.901554107666
vit,train,32,0.0582097430268595,4682.234191894531
bert,train,1,0.05593611250510343,1392.032787322998
bert,train,32,0.06647168704588267,1554.032787322998